City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Elesbao Veloso,BR,73.13,scattered clouds,-6.2019,-42.1403,Pousada Paraiso
550,Kaiyuan,CN,81.25,overcast clouds,23.6977,103.3037,Dongqi Hotel
551,Sumenep,ID,84.43,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
552,Yenagoa,NG,73.4,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
554,Hervey Bay,AU,72.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
555,Acajutla,SV,77.31,moderate rain,13.5928,-89.8275,Laureles
559,Springdale,US,80.73,clear sky,36.1867,-94.1288,Springdale Inn
563,Gladstone,AU,74.79,broken clouds,-23.85,151.25,Highpoint International Hotel
567,Martapura,ID,77.09,light rain,-3.4167,114.85,Montana Hotel Syariah
568,Bajram Curri,AL,73.27,few clouds,42.3554,20.0784,Hotel Boshnjaku
569,Wewak,PG,84.2,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
571,Jumla,NP,75.49,few clouds,29.2747,82.1838,Royal Garden Hotel
575,Tahta,EG,77.79,clear sky,26.7693,31.5021,فندق الزيات
577,Mattawa,US,74.26,broken clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
579,Kedougou,SN,79.3,broken clouds,12.5579,-12.1743,Relais de Kédougou
586,Banfora,BF,74.55,few clouds,10.6333,-4.7667,Residences David Hebié
588,Sindou,BF,73.87,light rain,10.6667,-5.1667,LERABA HOTEL
589,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
595,Samana,DO,77.4,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
599,Kirkwood,US,83.95,clear sky,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
606,Eydhafushi,MV,83.84,overcast clouds,5.1033,73.0708,Soneva Fushi
607,Am Timan,TD,77.23,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
609,Weiser,US,70.0,clear sky,44.251000000000005,-116.9693,The Colonial Motel
611,Kaihua,CN,76.55,overcast clouds,23.3687,104.28,Zhongyu Hotel
614,Winslow,US,80.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
616,San Patricio,US,84.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
617,Monticello,US,73.94,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
619,Kita,ML,77.81,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
622,Ormond Beach,US,79.02,broken clouds,29.2858,-81.0559,Makai Beach Lodge
625,Ormara,PK,83.21,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
628,Malakal,SS,79.09,scattered clouds,9.5334,31.6605,Nile Palace Hotel
631,Nerchinskiy Zavod,RU,73.2,broken clouds,51.3088,119.61,Gostinitsa
639,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
641,Tongzi,CN,83.53,overcast clouds,28.7829,105.0877,Jiayuan Hotel
643,Shingu,JP,83.26,scattered clouds,33.7333,135.9833,Shingu UI Hotel
646,Todos Santos,MX,83.05,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
647,Corvallis,US,71.65,clear sky,44.5646,-123.262,Hilton Garden Inn Corvallis
648,Caramay,PH,84.69,overcast clouds,10.1815,119.236,Peace and Love Beach Club
652,Zunyi,CN,81.18,overcast clouds,27.6867,106.9072,Bishiluo Hostel
654,Sarangani,PH,83.35,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
655,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
659,Matay,EG,74.73,clear sky,28.419,30.7792,Nag Aespen
660,Darhan,MN,73.36,scattered clouds,49.4867,105.9228,Buudai Hotel
664,Bambanglipuro,ID,84.0,overcast clouds,-7.95,110.2833,Puri Brata
667,Porto Novo,BJ,71.42,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
668,Hadejia,NG,80.22,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
