Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Payson,US,40.0444,-111.7321,69.28,36,0,12.66,clear sky
172,Carutapera,BR,-1.195,-46.02,73.29,94,99,5.28,overcast clouds
173,Provideniya,RU,64.3833,-173.3,41.36,100,100,8.99,drizzle
174,Cherlak,RU,54.155,74.8055,68.81,49,73,18.81,broken clouds
175,Uthal,PK,25.8072,66.6219,88.47,60,1,5.91,clear sky
176,Verkh-Usugli,RU,52.7,115.1667,71.06,43,54,2.01,broken clouds
177,Clyde River,CA,70.4692,-68.5914,39.43,81,100,8.05,overcast clouds
178,Ust-Tsilma,RU,65.441,52.1498,53.2,55,93,11.21,overcast clouds
179,Sola,VU,-13.8833,167.55,78.96,81,41,19.46,moderate rain
180,Carnarvon,AU,-24.8667,113.6333,75.85,36,0,3.15,clear sky
181,Berezovka,BY,53.7214,25.4993,54.43,90,95,11.48,overcast clouds
182,Bida,NG,9.0833,6.0167,73.6,94,100,3.51,overcast clouds
183,Makakilo City,US,21.3469,-158.0858,79.12,66,100,14.97,overcast clouds
184,Itum-Kale,RU,42.7356,45.5758,69.12,84,51,4.61,light rain
185,Cherskiy,RU,68.75,161.3,58.17,31,13,7.76,few clouds
186,Pimentel,PE,-6.8367,-79.9342,62.19,85,95,11.5,overcast clouds
187,Sistranda,NO,63.7256,8.834,48.16,71,85,10.33,overcast clouds
188,Port Hedland,AU,-20.3167,118.5667,86.05,23,1,16.11,clear sky
189,Riom,FR,45.9167,2.9167,59.65,97,100,3.0,overcast clouds
190,Wajid,SO,3.8093,43.2471,75.04,68,80,20.51,broken clouds
191,Karratha,AU,-20.7377,116.8463,84.36,25,1,16.96,clear sky
192,Sao Filipe,CV,14.8961,-24.4956,75.27,89,18,3.24,few clouds
193,Levokumskoye,RU,44.8219,44.6606,77.04,46,100,5.57,overcast clouds
194,Tokur,RU,53.1333,132.9,56.46,97,100,2.19,moderate rain
195,Ahipara,NZ,-35.1667,173.1667,52.68,70,100,2.37,overcast clouds
196,Jutai,BR,-5.1833,-68.9,70.61,98,93,1.72,overcast clouds
197,Labytnangi,RU,66.6572,66.4183,61.99,87,100,16.33,overcast clouds
198,Salalah,OM,17.0151,54.0924,84.29,84,75,14.97,broken clouds
199,Paka,MY,4.6374,103.4368,91.33,62,20,2.3,few clouds
200,Dalmeny,CA,52.3334,-106.7679,61.92,72,20,9.22,few clouds
201,Mount Isa,AU,-20.7333,139.5,76.77,31,0,12.66,clear sky
202,Revda,RU,56.801,59.9303,56.62,84,100,13.65,overcast clouds
203,Piacabucu,BR,-10.4056,-36.4344,74.23,85,28,8.05,scattered clouds
204,Esperance,AU,-33.8667,121.9,68.77,51,33,15.26,scattered clouds
205,Tuatapere,NZ,-46.1333,167.6833,43.27,79,29,3.15,scattered clouds
206,Labuhan,ID,-6.8844,112.2051,85.86,61,100,4.54,overcast clouds
207,Hearst,CA,49.6835,-83.6665,70.05,69,65,10.56,broken clouds
208,Port Keats,AU,-14.25,129.55,90.7,24,45,12.46,scattered clouds
209,Thompson,CA,55.7435,-97.8558,60.96,44,20,6.91,few clouds
210,Meulaboh,ID,4.1363,96.1285,83.3,67,100,4.25,light rain
211,Salamiyah,SY,35.0113,37.0532,72.21,63,1,25.43,clear sky
212,Kuah,MY,6.3265,99.8432,85.98,74,40,5.75,scattered clouds
213,Mehamn,NO,71.0357,27.8492,44.51,100,75,11.5,light rain
214,Lagoa,PT,39.05,-27.9833,63.84,86,84,16.17,broken clouds
215,Ashcroft,CA,50.7165,-121.2859,63.48,74,100,7.02,overcast clouds
216,Kavieng,PG,-2.5744,150.7967,82.98,71,74,3.76,broken clouds
217,Kungurtug,RU,50.5994,97.5228,71.82,29,21,9.98,few clouds
218,Oskarshamn,SE,57.2645,16.4484,55.98,69,93,7.83,overcast clouds
219,Ravar,IR,31.2656,56.8055,84.94,13,10,6.85,clear sky
220,Tupik,RU,54.4253,119.9327,56.46,98,100,3.24,moderate rain
221,Vardo,NO,70.3705,31.1107,48.18,93,75,10.36,broken clouds
222,Klaksvik,FO,62.2266,-6.589,50.92,94,100,31.88,light rain
223,Kasongo-Lunda,CD,-6.4667,16.8167,67.21,90,17,0.83,few clouds
224,Cam Ranh,VN,11.9214,109.1591,93.16,49,0,8.05,clear sky
225,Vila,PT,42.0304,-8.1588,48.7,93,95,2.06,overcast clouds
226,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,70.09,52,4,4.47,clear sky
227,Kruisfontein,ZA,-34.0033,24.7314,54.32,78,100,4.59,overcast clouds
228,Marsh Harbour,BS,26.5412,-77.0636,77.76,71,74,14.81,broken clouds
229,Leh,IN,34.1667,77.5833,57.87,25,51,6.73,broken clouds
230,Lorengau,PG,-2.0226,147.2712,84.83,67,100,7.07,overcast clouds
231,Mariinsk,RU,56.2139,87.7472,75.49,57,41,8.3,scattered clouds
232,Niquelandia,BR,-14.4739,-48.4597,63.54,54,50,4.05,scattered clouds
233,Coquimbo,CL,-29.9533,-71.3436,56.93,71,100,6.91,moderate rain
234,Iqaluit,CA,63.7506,-68.5145,38.93,75,0,4.61,clear sky
235,Mwinilunga,ZM,-11.7358,24.4293,47.73,67,0,3.78,clear sky
236,Sorland,NO,67.667,12.6934,46.26,63,100,3.09,overcast clouds
237,Dom Pedrito,BR,-30.9828,-54.6731,53.65,97,100,11.3,overcast clouds
238,Kuching,MY,1.55,110.3333,88.02,74,75,3.44,broken clouds
239,Pilar,BR,-9.5972,-35.9567,71.53,92,90,1.79,overcast clouds
240,Hobbs,US,32.7026,-103.136,81.19,36,77,1.99,broken clouds
241,Urucara,BR,-2.5364,-57.76,72.57,89,18,1.61,few clouds
242,Ullapool,GB,57.8987,-5.1604,53.35,94,100,8.84,overcast clouds
243,Qaanaaq,GL,77.484,-69.3632,33.33,66,95,5.48,overcast clouds
244,Diamantino,BR,-14.4086,-56.4461,67.68,57,32,2.86,scattered clouds
245,Chiang Rai,TH,19.9167,99.9167,91.53,56,20,3.44,few clouds
246,Aripuana,BR,-9.1667,-60.6333,68.41,63,90,0.58,overcast clouds
247,Padang,ID,-0.9492,100.3543,84.25,69,95,5.14,overcast clouds
248,San Martin,AR,-33.081,-68.4681,37.94,67,100,12.91,overcast clouds
249,Muros,ES,42.7762,-9.0603,56.68,95,76,4.5,broken clouds
250,Lipin Bor,RU,60.2622,37.9763,55.09,77,59,6.69,broken clouds
251,Chapais,CA,49.7834,-74.8492,56.98,98,100,11.5,overcast clouds
252,San Carlos,VE,9.6612,-68.5827,71.47,97,30,1.36,scattered clouds
253,Aykhal,RU,66.0,111.5,78.98,28,64,10.96,broken clouds
254,Potosi,BO,-19.5836,-65.7531,30.45,19,42,5.39,scattered clouds
255,Birin,NP,26.8865,88.0718,68.09,83,84,1.68,broken clouds
256,Kalang,PH,5.9197,121.3631,82.83,73,91,3.27,overcast clouds
257,Olga,RU,43.7444,135.2892,58.32,99,100,4.12,heavy intensity rain
258,Launceston,AU,-41.45,147.1667,56.84,74,15,5.75,few clouds
259,Kibondo,TZ,-3.5864,30.7203,58.96,57,69,1.9,broken clouds
260,Kamenka,RU,51.3223,42.7678,73.76,61,4,7.11,clear sky
261,Dawei,MM,14.0833,98.2,84.49,69,100,5.32,overcast clouds
262,Sahuaripa,MX,29.05,-109.2333,78.8,70,100,3.56,overcast clouds
263,San Policarpo,PH,12.1791,125.5072,85.39,69,88,6.82,light rain
264,Yulara,AU,-25.2406,130.9889,68.74,33,0,11.18,clear sky
265,Kasempa,ZM,-13.4584,25.8338,48.63,82,0,7.34,clear sky
266,Bahir Dar,ET,11.5936,37.3908,63.48,76,86,4.14,light rain
267,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,77,40,7.0,scattered clouds
268,Zelenets,RU,61.8849,50.7489,52.05,59,99,10.31,overcast clouds
269,Biak,ID,-0.9131,122.8766,80.67,79,100,9.62,overcast clouds
270,Lethem,GY,3.3803,-59.7968,73.13,91,100,4.09,overcast clouds
271,Oranjestad,AW,12.524,-70.027,80.15,85,57,22.39,broken clouds
